# (F) stands for finished and (D) for duration:
process, i, MEAN, SD, CI lower limit, CI upper limit
F, process6, 14.93534556666666666666, .54447724563129867818, 14.55804208513075515929, 15.31264904820257817403
D, process6, 10.93534556666666666666, .54447724563129867818, 10.55804208513075515929, 11.31264904820257817403
F, process7, 23.39411013333333333333, .42109450174956637107, 23.10230653117999422934, 23.68591373548667243732
D, process7, 21.39411013333333333333, .42109450174956637107, 21.10230653117999422934, 21.68591373548667243732
F, process8, 59.83884063333333333333, .56735588800196556070, 59.44568306149607421219, 60.23199820517059245447
D, process8, 57.83884063333333333333, .56735588800196556070, 57.44568306149607421219, 58.23199820517059245447
Context change, 0
Failed deadlines, 5, 8

SRTN
F, process1, 15.68012410000000000000, 1.79886922578282215717, 14.43357132454154838219, 16.92667687545845161781
D, process1, 14.68012410000000000000, 1.79886922578282215717, 13.43357132454154838219, 15.92667687545845161781
F, process2, 17.99353813333333333333, 2.62161307915269008502, 16.17685295513544525644, 19.81022331153122141022
D, process2, 14.79353840000000000000, 2.62161276269323193116, 12.97685344109732817770, 16.61022335890267182230
F, process3, 9.73161506666666666666, 2.12657364043282754334, 8.25797471766090379127, 11.20525541567242954205
D, process3, 6.73161506666666666666, 2.12657364043282754334, 5.25797471766090379127, 8.20525541567242954205
F, process4, 35.02260626666666666666, 2.31019577078206272282, 33.42172227318595673080, 36.62349026014737660252
D, process4, 30.02260626666666666666, 2.31019577078206272282, 28.42172227318595673080, 31.62349026014737660252
F, process5, 24.62014586666666666666, 1.46978516885515694817, 23.60163670807746832253, 25.63865502525586501079
D, process5, 20.62014586666666666666, 1.46978516885515694817, 19.60163670807746832253, 21.63865502525586501079
F, process6, 7.60187613333333333333, 1.27435654973265451316, 6.71879209852719056645, 8.48496016813947610021
D, process6, 3.60187613333333333333, 1.27435654973265451316, 2.71879209852719056645, 4.48496016813947610021
F, process7, 44.40741250000000000000, 3.99285416525887949106, 41.64050572858736473896, 47.17431927141263526104
D, process7, 42.40741250000000000000, 3.99285416525887949106, 39.64050572858736473896, 45.17431927141263526104
F, process8, 60.85605956666666666666, .58398455393527223741, 60.45137891723475120183, 61.26074021609858213149
D, process8, 58.85605956666666666666, .58398455393527223741, 58.45137891723475120183, 59.26074021609858213149
Context change, 2.46666666666666666666
Failed deadlines, 5, 8

RR
F, process1, 17.20708296666666666666, 5.51499663928050811000, 13.38538527524752479513, 21.02878065808580853819
D, process1, 16.20708296666666666666, 5.51499663928050811000, 12.38538527524752479513, 20.02878065808580853819
F, process2, 31.42780896666666666666, 10.59536376382734513783, 24.08559647145694026901, 38.77002146187639306431
D, process2, 28.22780830000000000000, 10.59536350493163322376, 20.88559598419584884662, 35.57002061580415115338
F, process3, 24.66999263333333333333, 11.06303309310908185031, 17.00370182711728810010, 32.33628343954937856656
D, process3, 21.66999263333333333333, 11.06303309310908185031, 14.00370182711728810010, 29.33628343954937856656
F, process4, 47.64606166666666666666, 7.56910030770091518205, 42.40094275471129610857, 52.89118057862203722475
D, process4, 42.64606166666666666666, 7.56910030770091518205, 37.40094275471129610857, 47.89118057862203722475
F, process5, 28.62187353333333333333, 7.39889159596896077915, 23.49470324097500017719, 33.74904382569166648947
D, process5, 24.62187353333333333333, 7.39889159596896077915, 19.49470324097500017719, 29.74904382569166648947
F, process6, 20.64641503333333333333, 10.92535365138479619773, 13.07553121265304416691, 28.21729885401362249975
D, process6, 16.64641503333333333333, 10.92535365138479619773, 9.07553121265304416691, 24.21729885401362249975
F, process7, 41.43497056666666666666, 4.12520638047035317321, 38.57634838935055892522, 44.29359274398277440810
D, process7, 39.43497056666666666666, 4.12520638047035317321, 36.57634838935055892522, 42.29359274398277440810
F, process8, 56.41432460000000000000, 4.41756046954593556095, 53.35311137496879120429, 59.47553782503120879571
D, process8, 54.41432460000000000000, 4.41756046954593556095, 51.35311137496879120429, 57.47553782503120879571
Context change, 5.60000000000000000000
Failed deadlines, 6, 8

PS
F, process1, 14.70390763333333333333, .61962716470419980736, 14.27452791476299454588, 15.13328735190367212078
D, process1, 13.70390763333333333333, .61962716470419980736, 13.27452791476299454588, 14.13328735190367212078
F, process2, 38.27197940000000000000, .20215717291975238408, 38.13189162631968276823, 38.41206717368031723177
D, process2, 35.07197880000000000000, .20215725268387808531, 34.93189097104596367305, 35.21206662895403632695
F, process3, 46.62291576666666666666, .67569831522411850853, 46.15468072314999307819, 47.09115081018334025513
D, process3, 43.62291576666666666666, .67569831522411850853, 43.15468072314999307819, 44.09115081018334025513
F, process4, 29.71836390000000000000, .60850772814765740929, 29.29668955784192384104, 30.14003824215807615896
D, process4, 24.71836390000000000000, .60850772814765740929, 24.29668955784192384104, 25.14003824215807615896
F, process5, 13.36737483333333333333, .33232844523303381461, 13.13708297007198215676, 13.59766669659468450990
D, process5, 9.36737483333333333333, .33232844523303381461, 9.13708297007198215676, 9.59766669659468450990
F, process6, 7.42820946666666666666, .22193617749400138949, 7.27441554209196964512, 7.58200339124136368820
D, process6, 3.42820946666666666666, .22193617749400138949, 3.27441554209196964512, 3.58200339124136368820
F, process7, 59.72188250000000000000, .70851571311259568987, 59.23090615998724389653, 60.21285884001275610347
D, process7, 57.72188250000000000000, .70851571311259568987, 57.23090615998724389653, 58.21285884001275610347
F, process8, 39.89715060000000000000, .75335720773833886951, 39.37510068955740882982, 40.41920051044259117018
D, process8, 37.89715060000000000000, .75335720773833886951, 37.37510068955740882982, 38.41920051044259117018
Context change, 2.00000000000000000000
Failed deadlines, 6, 8

EDF
F, process1, 14.19281723333333333333, .28533103482396060978, 13.99509291391847579644, 14.39054155274819087022
D, process1, 13.19281723333333333333, .28533103482396060978, 12.99509291391847579644, 13.39054155274819087022
F, process2, 24.34407363333333333333, 3.75127892809969085022, 21.74456996051546858460, 26.94357730615119808206
D, process2, 21.14407286666666666666, 3.75127886149348391639, 18.54456924000454849811, 23.74357649332878483521
F, process3, 11.74993403333333333333, 9.17018508431220808415, 5.39531997663749683783, 18.10454809002916982883
D, process3, 8.74993403333333333333, 9.17018508431220808415, 2.39531997663749683783, 15.10454809002916982883
F, process4, 33.85464950000000000000, 1.12198103417635808091, 33.07715631032377763342, 34.63214268967622236658
D, process4, 28.85464950000000000000, 1.12198103417635808091, 28.07715631032377763342, 29.63214268967622236658
F, process5, 17.92870646666666666666, 1.11285201406906849440, 17.15753936517342805413, 18.69987356815990527919
D, process5, 13.92870646666666666666, 1.11285201406906849440, 13.15753936517342805413, 14.69987356815990527919
F, process6, 7.39279383333333333333, .19799094155795500825, 7.25559311069197671072, 7.52999455597468995594
D, process6, 3.39279383333333333333, .19799094155795500825, 3.25559311069197671072, 3.52999455597468995594
F, process7, 44.30090940000000000000, 3.91308547792331092424, 41.58927950873386814605, 47.01253929126613185395
D, process7, 42.30090940000000000000, 3.91308547792331092424, 39.58927950873386814605, 45.01253929126613185395
F, process8, 58.91793573333333333333, 5.17437613136774156903, 55.33227601145138828611, 62.50359545521527838055
D, process8, 56.91793573333333333333, 5.17437613136774156903, 53.33227601145138828611, 60.50359545521527838055
Context change, 2.00000000000000000000
Failed deadlines, 5, 8

FCFS
F, process1, 11.37450963333333333333, .34876371392261966345, 11.20361541351124969824, 11.54540385315541696842
D, process1, 10.37450963333333333333, .34876371392261966345, 10.20361541351124969824, 10.54540385315541696842
F, process2, 67.84599226666666666666, .63751772848394489874, 67.53360857970953366628, 68.15837595362379966704
D, process2, 64.64599453333333333333, .63751862036010280668, 64.33361040935688295806, 64.95837865730978370860
F, process3, 51.07686286666666666666, .53320816550966492322, 50.81559086556693085429, 51.33813486776640247903
D, process3, 48.07686286666666666666, .53320816550966492322, 47.81559086556693085429, 48.33813486776640247903
F, process4, 86.90271860000000000000, .61116252251418907391, 86.60324896396804735379, 87.20218823603195264621
D, process4, 81.90271860000000000000, .61116252251418907391, 81.60324896396804735379, 82.20218823603195264621
F, process5, 69.00423640000000000000, .57693276369097522997, 68.72153934579142213732, 69.28693345420857786268
D, process5, 65.00423640000000000000, .57693276369097522997, 64.72153934579142213732, 65.28693345420857786268
F, process6, 71.02432936666666666666, .57597803879433246630, 70.74210012765744375818, 71.30655860567588957514
D, process6, 67.02432936666666666666, .57597803879433246630, 66.74210012765744375818, 67.30655860567588957514
F, process7, 41.34605410000000000000, .28879038222631884132, 41.20454681270910376776, 41.48756138729089623224
D, process7, 39.34605410000000000000, .28879038222631884132, 39.20454681270910376776, 39.48756138729089623224
F, process8, 59.20856983333333333333, .53049641374408827277, 58.94862659059873007968, 59.46851307606793658698
